S.No.,Document Name,Category,Ester Type
1,IEC_60076-14.pdf,Standard / Specification,General
2,IEC_62770_2024.pdf,Standard / Specification,Natural Ester
3,IEC_62975ed1_0b.pdf,Standard / Specification,Synthetic Ester
4,IS_166592017.pdf,Standard / Specification,Natural Ester
5,Sy__Ester_IS16081_2013_IDENTICAL_TO_IEC_61099_1.pdf,Standard / Specification,Synthetic Ester
6,1180_3.pdf,Standard / Specification,General
7,ML13823_English_K_2.pdf,Standard / Specification,General
8,FM_Approval_bioTRANSOL.pdf,Approval / Certification,Natural Ester
9,FM_Global_Approval_Transol_Synth_100.pdf,Approval / Certification,Synthetic Ester
10,UL_Approval_Transol_Synth_100_Synthetic_Ester_fluid.pdf,Approval / Certification,Synthetic Ester
11,bioTRANSOL_UL_Certificate_of_Compliance__Copy.pdf,Approval / Certification,Natural Ester
12,ERDA_Test_Report_Transol_Synth_100.pdf,Test Report,Synthetic Ester
13,Crystallization_report_ERDA_RP2425005920.pdf,Test Report,Synthetic Ester
14,Net_Calorific_Value_Report_Transol_Synth.pdf,Test Report,Synthetic Ester
15,Type_Test_Report_1_compressed.pdf,Test Report,General
16,bioTRANSOL_CPRI_Type_Test_Report.pdf,Test Report,Natural Ester
17,bio_TRANSOL_HF_ERDA_Type_Test_Report.pdf,Test Report,Natural Ester
18,I2312110091TestReportEN_45545.pdf,Test Report,General
19,OECD_201_Freshwater_Algae__Cynobateria_Growth_Inhibition_Test.pdf,Environmental / Biodegradability Report,Synthetic Ester
20,OECD_202_Daphnia_sp__Immobilisation_Test_Transol_Synth_100.pdf,Environmental / Biodegradability Report,Synthetic Ester
21,OECD_203_Aquatic_Toxicity_Test_Transol_Synth_100.pdf,Environmental / Biodegradability Report,Synthetic Ester
22,OECD_301_Biodegradability_Report_Transol_Synth_100.pdf,Environmental / Biodegradability Report,Synthetic Ester
23,Savita_ICDL_Paper_on_FTIR__XPS_evidence_on_interaction_between_Natural_Ester__Cellulose_Paper.pdf,Technical Paper,Natural Ester
24,Savita_Paper_on_Insulation_Paper_life_enhancement_with_Natural_Ester_fluid.pdf,Technical Paper,Natural Ester
25,Savita_Paper_on_Insulation_Paper_life_enhancement_with_Natural_Ester_fluid_bioTRANSOL_GRIDTECH.pdf,Technical Paper,Natural Ester
26,Savita__CG_IEEE_Paper_Thermal_Performance.pdf,Technical Paper,Natural Ester
27,Savita__CG_IEEE_Paper_on_Effects_of_contaminant.pdf,Technical Paper,Natural Ester
28,Savita__CG_IEEE_Paper_on_FRA_for_permittivity.pdf,Technical Paper,Natural Ester
29,Savita__CG_IEEE_Paper_on_Positive__Negative_Lighning_Impulse_stress_on_Natural_Ester.pdf,Technical Paper,Natural Ester
30,Savita__CG_IEEE_Paper_on_continuous_Thermal_overloading_capability_of_Ester_oil.pdf,Technical Paper,Natural Ester
31,Savita__CG_IEEE_Paper_on_cooling_conditions_for_Natural_Ester.pdf,Technical Paper,Natural Ester
32,Savita__CG_Paper_on_Lightning_Impulse_polarity_effect_in_Ester_oils.pdf,Technical Paper,Natural Ester
33,Savita__CG_Paper_on_Natural_Ester_compatibility_study_with_Transformer_components.pdf,Technical Paper,Natural Ester
34,Savita__CG_Paper_on_prediction_of_oil__temperature_distribution_in_Ester_filled_Transformer.pdf,Technical Paper,Natural Ester
35,Savita__CG_paper_on_Effect_on_Dielectric_strength_of_mineral_oil_in_mixing_with_Natural_Ester.pdf,Technical Paper,Natural Ester
36,Savita_Presentation_on_Natural_Ester_fluid__Super_Shakti.pdf,Presentation / General Guide,Natural Ester
37,GENERALCONSIDERATION_FOR_RETROFILLING_WITH_BioTRANSOL.pdf,Presentation / General Guide,Natural Ester
38,Transformer_Design_Aspect_1.pdf,Presentation / General Guide,General
39,Q_A_ESTER_OIL.docx,Reference / Comparison,General
40,Comparison-_Mineral_Oil__Ester_Oil.docx,Reference / Comparison,General
